title,category
Settled WiFi payment from NEA,Bills
Subscribed to Music album premium plan,Entertainment
Paid for Sajha Yatayat Cab fare,Transport
Purchased new Sweater for office,Shopping
Booked diagnostic center Hospital bill,Health
Booked Vitamin supplements from hospital,Health
Paid for restaurant Milkshake,Food
E-book purchase - Steam,Entertainment
Purchased Bus ticket for a trip,Transport
Bought Theatre ticket annual plan,Entertainment
Snack at Bajeko Sekuwa Hot dog,Food
Visited for Medicine follow-up visit,Health
Dumplings for March,Food
Bought Concert ticket,Entertainment
Paid for Headphones from outlet store,Shopping
Textbooks - library,Education
PlayStation Karaoke night,Entertainment
Paid for Bread,Food
Settled bank Electricity bill,Bills
Settled Cable TV bill from landlord,Bills
Home loan installment,Bills
Booked Painkillers from pharmacy,Health
Bought Workshop registration from bookstore,Education
Booked Flight ticket downtown,Transport
Bought pharmacy Medical bill,Health
Bought Fried chicken at college,Food
Settled insurance company Home loan installment,Bills
Used Taxi fare from gas station,Transport
Renewed Gaming subscription premium plan,Entertainment
Used Bike rental from Uber,Transport
Registered for Online course for the workshop,Education
Cleared Internet bill for the house,Bills
Backpack for February,Shopping
Shopping for shopping center Furniture piece,Shopping
Paid Gas cylinder,Bills
Renewed Disney+ Comic book,Entertainment
Theatre ticket premium plan,Entertainment
Breakfast at Noodles from Starbucks,Food
Doctor appointment for June,Health
Paid for Yoga class fee,Health
Dinner at Ramen from restaurant,Food
Bought Wallet seasonal sale,Shopping
Purchased food court Vegetables,Food
Renewed Video game purchase from Spotify,Entertainment
Visited for Painkillers routine visit,Health
Exam fee - bookstore,Education
Booked Car rental to the mall,Transport
Took a Cab fare from local garage,Transport
Purchased Programming course from university,Education
Property tax - NEA,Bills
Recharged gas station Toll fee,Transport
Gas cylinder - telecom provider,Bills
Headphones seasonal sale,Shopping
Shopping for Sneakers from online store,Shopping
Purchased Streaming service from YouTube,Entertainment
Took a Ride share to hospital,Transport
Medical bill for February,Health
Bought PlayStation Netflix subscription,Entertainment
Water bill - telecom provider,Bills
Sunglasses - Amazon,Shopping
Paid Seminar fee from bookstore,Education
Took out Chowmein on the way home,Food
Pizza - campus canteen,Food
Purchased gas station Bus ticket,Transport
Paid coaching center Programming course,Education
Sneakers - Amazon,Shopping
Booked Netflix E-book purchase,Entertainment
Vaccination for October,Health
Bought Exam fee from library,Education
Got a new local mall Laptop bag,Shopping
Vitamin supplements,Health
Project materials - Udemy,Education
Paid for Garbage collection fee for the house,Bills
Renewed Cinema ticket from Amazon Prime,Entertainment
Took out Salad from Foodmandu,Food
Bought Netflix subscription from Disney+,Entertainment
Bought Coursera College supplies,Education
Charger for July,Shopping
Took a Bus ticket to home,Transport
Purchased Bike fuel from petrol pump,Transport
Bought Waffles,Food
Bought Lab test monthly,Health
Went for Doctor appointment monthly,Health
Paid for Necklace from outlet store,Shopping
Purchased new Curtains from Amazon,Shopping
Pharmacy purchase for November,Health
Bowling session - Xbox Game Pass,Entertainment
Lunch at Juice from McDonald's,Food
Refueled with petrol pump Car service,Transport
Got a new Perfume from Amazon,Shopping
Purchased College supplies,Education
Refueled with Diesel for weekend trip,Transport
Bought Daraz Bedsheet,Shopping
Took out campus canteen Fried chicken,Food
Cable TV bill - landlord,Bills
Paid Water bill quarterly payment,Bills
Registered for Library fine,Education
Charger for office,Shopping
Paid Apartment rent for the apartment,Bills
Booked Uber Bike fuel,Transport
Surgery cost for October,Health
local cinema Concert ticket,Entertainment
Purchased Music album from Amazon Prime,Entertainment
Ordered Amazon Jeans,Shopping
Curtains for June,Shopping
Grabbed French fries with friends,Food
Paid for Auto rickshaw fare from Pathao,Transport
Purchased School books for the course,Education
Had Snacks,Food
Bought College supplies,Education
Grabbed cafe Ice cream,Food
Bought Gym membership from gym,Health
Cleared Water tank refill for the house,Bills
School books,Education
Had Chowmein,Food
Purchased petrol pump Ride share,Transport
Ordered Charger from Daraz,Shopping
Paid for Flight ticket for weekend trip,Transport
Paid for Health insurance premium,Health
Paid Insurance premium,Bills
Subscribed to Cinema ticket from Steam,Entertainment
Grabbed hotel restaurant Dosa,Food
Snack at Salad,Food
Stand-up comedy show family plan,Entertainment
Bought Necklace for birthday gift,Shopping
Purchased new Socks from local mall,Shopping
Got a new Daraz Power bank,Shopping
Bought Coaching class fee this semester,Education
Monthly insurance company Loan EMI,Bills
Paid library Software license for study,Education
Study materials - Udemy,Education
Bought Steam Video game purchase,Entertainment
Study materials for April,Education
Paid for Amusement park ticket premium plan,Entertainment
Shopping for shopping center Jacket,Shopping
Cleared Internet bill,Bills
Purchased new Bag from boutique,Shopping
Purchased Online course,Education
Booked Flight ticket,Transport
Visited for X-ray from gym,Health
Library fine - local college,Education
Scooter rental from Tootle,Transport
Breakfast at Tea from Domino's,Food
Shopping for Shirt from shopping center,Shopping
Paid for pharmacy Health insurance premium,Health
Surgery cost for March,Health
Purchased Milkshake at office,Food
Subscribed to Theatre ticket from Amazon Prime,Entertainment
Paid for Jacket online order,Shopping
Paid for Society fee,Bills
Sunglasses for June,Shopping
Enrolled in Coursera Software license for study,Education
Property tax,Bills
Phone bill - NEA,Bills
Purchased bookstore Workshop registration,Education
Had campus canteen Cake,Food
Pathao Metro card recharge,Transport
Renewed Streaming service weekend outing,Entertainment
Booked Video game purchase from Steam,Entertainment
Recharged Pathao Auto rickshaw fare,Transport
Paid for Bike fuel to office,Transport
Took a Uber ride from petrol pump,Transport
Paid for French fries with friends,Food
Momo - local bakery,Food
Went for Dental appointment from pharmacy,Health
Paid Electricity bill,Bills
petrol pump Taxi fare,Transport
Shopping for Laptop bag from local mall,Shopping
Purchased new Sneakers online order,Shopping
Gas cylinder for October,Bills
Refueled with Toll fee from Sajha Yatayat,Transport
Got a new Belt from online store,Shopping
College fee for January,Education
Purchased local garage Bike fuel,Transport
Water tank refill for November,Bills
gas station Parking fee,Transport
Thukpa - Bajeko Sekuwa,Food
Enrolled in Study materials this semester,Education
Paid for Sushi from Pizza Hut,Food
Got a new Jeans from Amazon,Shopping
Breakfast at Coffee from Domino's,Food
Ordered Soup from Subway,Food
Paid Water tank refill,Bills
Visited for Medicine from wellness center,Health
Subscribed to Stand-up comedy show from Spotify,Entertainment
Power bank for August,Shopping
Booked Pharmacy purchase follow-up visit,Health
Renewed PlayStation Disney+ subscription,Entertainment
Bought university Lab fee,Education
Taxi fare - petrol pump,Transport
Enrolled in library Workshop registration,Education
Purchased new Laptop bag online order,Shopping
Ordered local mall Kitchenware,Shopping
Paid for Dental treatment from gym,Health
Purchased bookstore Thesis printing,Education
Bought Udemy Workshop registration,Education
Took a Bike fuel from Sajha Yatayat,Transport
Grabbed local bakery Sushi,Food
online store Watch,Shopping
Recharged Car rental to college,Transport
Gaming subscription for July,Entertainment
Renewed Comic book from Spotify,Entertainment
Registered for Lab fee for the workshop,Education
Bought boutique Shoes,Shopping
Took out Milk,Food
Used Uber ride from Tootle,Transport
Burrito for April,Food
Registered for Coursera College fee,Education
Bought Amazon Prime membership monthly plan,Entertainment
Bought Arcade tokens from Steam,Entertainment
Dinner at food court Milk,Food
Purchased Concert ticket,Entertainment
Fried rice for June,Food
Went for pharmacy Eye checkup,Health
Booked Petrol to college,Transport
Subscribed to Stand-up comedy show premium plan,Entertainment
Bought Laptop bag seasonal sale,Shopping
Purchased PlayStation Plus from Disney+,Entertainment
Medicine for December,Health
Shopping for Power bank from local mall,Shopping
Used local garage Scooter rental,Transport
Paid Internet bill from bank,Bills
Enrolled in university Thesis printing,Education
Visited for Doctor appointment,Health
Burrito for July,Food
Purchased Cinema ticket premium plan,Entertainment
Paid for Donuts,Food
Enrolled in Workshop registration from Udemy,Education
Ordered Belt from local mall,Shopping
Cleared Mobile recharge,Bills
Booked Health checkup,Health
Bought Doctor appointment,Health
Doctor appointment - hospital,Health
Amazon Prime membership - Netflix,Entertainment
Renewed Music album annual plan,Entertainment
Visited for pharmacy Vitamin supplements,Health
Helmet purchase for August,Transport
Settled Cable TV bill from insurance company,Bills
Bought Comic book from Netflix,Entertainment
Vitamin supplements - local clinic,Health
Monthly Home loan installment for the apartment,Bills
Booked Health insurance premium from hospital,Health
Went for diagnostic center Medical bill,Health
Paid for Yoga class fee monthly,Health
Phone case for December,Shopping
Grabbed Domino's Pancakes,Food
Bought Library fine,Education
Took out Donuts,Food
Lab test for December,Health
Purchased new outlet store Cap,Shopping
Visited for hospital Physiotherapy session,Health
Paid for Socks seasonal sale,Shopping
Bought Ramen for the party,Food
Bought Movie ticket monthly plan,Entertainment
Paid for Pizza from McDonald's,Food
Paid College fee from local college,Education
Settled Garbage collection fee,Bills
Paid for Painkillers,Health
Booked Sajha Yatayat Bus ticket,Transport
Renewed Theatre ticket from Xbox Game Pass,Entertainment
Project materials for January,Education
Enrolled in library Certification exam,Education
Bought Sunglasses from local mall,Shopping
Refueled with Tootle Bike wash,Transport
Biryani - Wow Momo,Food
Booked Petrol to the mall,Transport
Booked wellness center Pharmacy purchase,Health
Settled Water bill,Bills
Pharmacy purchase for January,Health
Monthly rent,Bills
Shopping for Charger from shopping center,Shopping
Bought X-ray routine visit,Health
Paid for Starbucks Ramen,Food
Coaching class fee for November,Education
local cinema Disney+ subscription,Entertainment
Purchased petrol pump Bike repair,Transport
Purchased Thukpa takeaway,Food
Booked Medical bill routine visit,Health
Tire replacement for May,Transport
Yoga class fee for February,Health
Backpack for January,Shopping
Train ticket - local garage,Transport
Chicken curry - Subway,Food
Paid for Health checkup follow-up visit,Health
Purchased YouTube Premium from Disney+,Entertainment
Bought Hospital bill from wellness center,Health
Kitchenware - local mall,Shopping
Paid for Loan EMI,Bills
Dinner at Fried rice from Pizza Hut,Food
Shopping for shopping center Jeans,Shopping
Shopping for Daraz Shoes,Shopping
Paid for Netflix E-book purchase,Entertainment
Health insurance premium for August,Health
Purchased bookstore Project materials,Education
Purchased Spotify subscription with friends,Entertainment
Paid for Painkillers follow-up visit,Health
Amusement park ticket for November,Entertainment
Lunch at Burger King Noodles,Food
Cinema ticket for November,Entertainment
Purchased library Thesis printing,Education
Bought wellness center Hospital bill,Health
Enrolled in School books from university,Education
Got a new outlet store Jeans,Shopping
Ordered online store Wallet,Shopping
Settled Water bill from insurance company,Bills
Cleared local ISP Home loan installment,Bills
Booked Amusement park ticket monthly plan,Entertainment
Renewed Netflix subscription from Steam,Entertainment
Purchased Music album from Steam,Entertainment
Booked Karaoke night family plan,Entertainment
Project materials for April,Education
Got a new local mall Charger,Shopping
Got a new Laptop bag from outlet store,Shopping
Purchased new Backpack online order,Shopping
Paid for Soup for the party,Food
Breakfast at Thukpa takeaway,Food
Recharged Metro card recharge to college,Transport
Juice - Bajeko Sekuwa,Food
Bike fuel - InDrive,Transport
Recharged Flight ticket from Uber,Transport
Went for Dental appointment,Health
Yoga class fee - hospital,Health
Booked Train ticket to office,Transport
Paid for Vaccination from local clinic,Health
Settled Electricity bill,Bills
Lunch at cafe Burrito,Food
Study materials for June,Education
Bought Amazon Sweater,Shopping
Shopping for Phone case from boutique,Shopping
Breakfast at Coffee from Wow Momo,Food
Shopping for boutique Bedsheet,Shopping
Used Tootle Toll fee,Transport
Purchased library Project materials,Education
Apartment rent - utility company,Bills
Programming course for September,Education
Bought Eye checkup from gym,Health
Disney+ subscription from Disney+,Entertainment
Visited for Surgery cost checkup,Health
Paid for Watch from outlet store,Shopping
Purchased Amusement park ticket from local cinema,Entertainment
Medical bill for April,Health
Used Car service downtown,Transport
PlayStation Plus weekend outing,Entertainment
Registered for College tuition from coaching center,Education
Jeans online order,Shopping
Ordered local mall Curtains,Shopping
Bought Wow Momo Sandwich,Food
Lunch at Momo,Food
Taxi fare to home,Transport
Hot dog for April,Food
Breakfast at Chowmein from street food stall,Food
Purchased Donuts on the way home,Food
Booked Gym membership,Health
Renewed Streaming service from Amazon Prime,Entertainment
Had Burger King Juice,Food
Jeans from Daraz,Shopping
Shopping for Sneakers from outlet store,Shopping
Bought Bubble tea at college,Food
Paid University fee,Education
Settled Phone bill quarterly payment,Bills
Shopping for Power bank for office,Shopping
Took out dhaba Coffee,Food
Watch - outlet store,Shopping
Lab fee - library,Education
Cleared landlord Mobile recharge,Bills
Pastry - Foodmandu,Food
Booked Theatre ticket premium plan,Entertainment
Booked Doctor appointment checkup,Health
Booked petrol pump Helmet purchase,Transport
Bought Wallet,Shopping
Booked Health insurance premium from gym,Health
Purchased Cab fare downtown,Transport
Power bank for May,Shopping
Vitamin supplements - hospital,Health
Paid for PlayStation Bowling session,Entertainment
Makeup kit for October,Shopping
Bought Snacks,Food
Refueled with Bike wash to the mall,Transport
Sunglasses from Amazon,Shopping
Paid for Karaoke night from Disney+,Entertainment
Makeup kit from boutique,Shopping
Monthly utility company Cable TV bill,Bills
Renewed Steam Amazon Prime membership,Entertainment
Ordered shopping center T-shirt,Shopping
Bought Earrings from shopping center,Shopping
Paid Internet bill,Bills
Online course - university,Education
Paid Software license for study from coaching center,Education
Purchased College tuition from Coursera,Education
Ordered restaurant Pastry,Food
Took out Pizza Hut Momo,Food
Paid for Streaming service from Spotify,Entertainment
Taxi fare from local garage,Transport
Took out Soup,Food
Paid for Earrings from outlet store,Shopping
Home loan installment for November,Bills
Purchased Dumplings after work,Food
Subscribed to Disney+ Music album,Entertainment
Bought School books from Udemy,Education
Got a new Amazon Bag,Shopping
Paid Stationery from Coursera,Education
Watch - online store,Shopping
Paid for Bike rental from InDrive,Transport
Dumplings - Bajeko Sekuwa,Food
Breakfast at Steak from Pizza Hut,Food
Movie ticket annual plan,Entertainment
College tuition for March,Education
Took a Helmet purchase from local garage,Transport
Snack at Burger King Pastry,Food
Paid for Board game from Spotify,Entertainment
Got a new local mall Cap,Shopping
Paid for Hospital bill follow-up visit,Health
Bought X-ray from diagnostic center,Health
Visited for hospital Medical bill,Health
Ride share for April,Transport
Subscribed to Disney+ Streaming service,Entertainment
Ordered Sushi,Food
Registered for Exam fee from university,Education
Purchased Streaming service with friends,Entertainment
Pharmacy purchase for June,Health
Thesis printing - Udemy,Education
Bought Movie ticket from Netflix,Entertainment
Booked Train ticket from Uber,Transport
Apartment rent - local ISP,Bills
Lunch at Burrito,Food
Bought Pharmacy purchase follow-up visit,Health
Purchased Project materials this semester,Education
Refueled with Pathao Tire replacement,Transport
Dinner at Domino's Fruits,Food
Ordered Shirt seasonal sale,Shopping
Mobile recharge - utility company,Bills
Purchased Flight ticket from local garage,Transport
Diesel - InDrive,Transport
Enrolled in Textbooks from Udemy,Education
Paid Gas cylinder annual payment,Bills
Shoes,Shopping
PlayStation Plus - Spotify,Entertainment
Purchased Software license for study annual fee,Education
Bought Juice from Burger King,Food
Purchased Workshop registration for the workshop,Education
Refueled with Cab fare from gas station,Transport
Coaching class fee for August,Education
local garage Cab fare,Transport
Breakfast at Pizza,Food
Karaoke night - local cinema,Entertainment
Recharged InDrive Toll fee,Transport
Purchased YouTube Premium monthly plan,Entertainment
Renewed Movie ticket from Spotify,Entertainment
Went for Dental treatment,Health
Monthly Garbage collection fee from NEA,Bills
Used Scooter rental to home,Transport
Visited for Medical bill from hospital,Health
Bought Grilled fish from Pizza Hut,Food
Paid for Bus ticket,Transport
Jacket for August,Shopping
Phone case online order,Shopping
Went for Surgery cost emergency visit,Health
Monthly Loan EMI from landlord,Bills
Settled NEA Gas cylinder,Bills
College supplies for November,Education
Registered for College fee from bookstore,Education
Used Pathao ride from Uber,Transport
Refueled with Bike repair from InDrive,Transport
Paid for Streaming service from Netflix,Entertainment
Renewed Netflix subscription from Netflix,Entertainment
Amazon Prime membership - PlayStation,Entertainment
Got a new shopping center Power bank,Shopping
Bought Library fine for the course,Education
Visited for Doctor appointment routine visit,Health
Paid for Gaming subscription from Disney+,Entertainment
Purchased bookstore School books,Education
Paid telecom provider WiFi payment,Bills
Booked YouTube Premium weekend outing,Entertainment
Recharged Uber Taxi fare,Transport
Purchased Arcade tokens from PlayStation,Entertainment
Got a new shopping center Backpack,Shopping
Took out Pizza from cafe,Food
Monthly Monthly rent,Bills
Society fee for March,Bills
Insurance premium for June,Bills
Renewed Movie ticket weekend outing,Entertainment
Booked Theatre ticket,Entertainment
Lunch at Grilled fish with friends,Food
Paid Certification exam from coaching center,Education
Registered for University fee for the course,Education
Ordered Milkshake for the party,Food
Paid for Music album from Disney+,Entertainment
Purchased new Earrings for birthday gift,Shopping
Enrolled in Textbooks from library,Education
Took a local garage Bike repair,Transport
Booked wellness center Vaccination,Health
Cleared utility company Internet bill,Bills
Renewed Steam purchase weekend outing,Entertainment
Registered for Lab fee,Education
Paid Coaching class fee for the course,Education
Perfume from outlet store,Shopping
Ordered Bag from Daraz,Shopping
Snack at Burger King Juice,Food
Amazon Prime membership from YouTube,Entertainment
Shopping for shopping center Umbrella,Shopping
Purchased hotel restaurant Steak,Food
Took a Bike fuel from Tootle,Transport
Cleared Society fee quarterly payment,Bills
Purchased local bakery Dosa,Food
Bought Workshop registration this semester,Education
Auto rickshaw fare from petrol pump,Transport
Blood test for July,Health
Booked Bike fuel,Transport
Enrolled in College tuition from local college,Education
Vitamin supplements for April,Health
Shopping for online store Sneakers,Shopping
Cleared Home loan installment from local ISP,Bills
Phone bill for July,Bills
Gas cylinder for January,Bills
Water bill for January,Bills
Booked Movie ticket from Disney+,Entertainment
Bought Study materials this semester,Education
Booked Uber Train ticket,Transport
Ordered Perfume from boutique,Shopping
Refueled with Taxi fare from Pathao,Transport
Booked Surgery cost,Health
Purchased new Amazon Electronics gadget,Shopping
Paid for gas station Auto rickshaw fare,Transport
Eye checkup for January,Health
Paid Society fee from telecom provider,Bills
Physiotherapy session - wellness center,Health
Ordered Watch from online store,Shopping
Took a Tire replacement to the mall,Transport
Subscribed to Amazon Prime membership with friends,Entertainment
Health checkup for May,Health
Paid for Credit card payment from insurance company,Bills
Purchased new Necklace for office,Shopping
Got a new Cap online order,Shopping
Insurance premium for November,Bills
Purchased new Bedsheet for office,Shopping
Society fee for August,Bills
Loan EMI for July,Bills
Went for local clinic Surgery cost,Health
Booked local clinic Lab test,Health
Got a new Bedsheet for office,Shopping
Scooter rental to college,Transport
Music album for November,Entertainment
Purchased new boutique Backpack,Shopping
Renewed YouTube Theatre ticket,Entertainment
Took a local garage Bike wash,Transport
Registered for Study materials from Coursera,Education
Paid for Comic book from Xbox Game Pass,Entertainment
Bought Exam fee from bookstore,Education
local mall Headphones,Shopping
Surgery cost for June,Health
Bought Karaoke night from PlayStation,Entertainment
Bought X-ray from wellness center,Health
Purchased Domino's Pizza,Food
Bought Kitchenware for office,Shopping
Bought shopping center T-shirt,Shopping
Bought Project materials for the course,Education
Booked Dental treatment checkup,Health
Purchased Tootle Scooter rental,Transport
Bought Thesis printing,Education
Lab test - diagnostic center,Health
Ordered McDonald's Pastry,Food
Purchased local cinema Arcade tokens,Entertainment
Bike fuel,Transport
Paid for Cap from Daraz,Shopping
Paid for Disney+ subscription annual plan,Entertainment
Renewed PlayStation Plus,Entertainment
Cleared Water tank refill annual payment,Bills
Ordered Tea from local bakery,Food
Recharged Bike fuel from Tootle,Transport
Grabbed Bread,Food
Paid for Insurance premium,Bills
Bought Sweater for office,Shopping
Monthly landlord Water tank refill,Bills
Shopping for Bedsheet from outlet store,Shopping
Paid for Kitchenware from outlet store,Shopping
Renewed Xbox Game Pass Concert ticket,Entertainment
Fuel station for October,Transport
Pizza - street food stall,Food
Purchased new Charger from outlet store,Shopping
Took a local garage Bus ticket,Transport
Paid for Shoes from Amazon,Shopping
Monthly Cable TV bill annual payment,Bills
Settled Society fee,Bills
Bought Tea,Food
Purchased new local mall Curtains,Shopping
Purchased Coffee at office,Food
Shopping for Electronics gadget from boutique,Shopping
Bought Lab test,Health
Recharged Bus ticket downtown,Transport
Renewed Concert ticket from YouTube,Entertainment
Bought Board game from YouTube,Entertainment
Concert ticket for October,Entertainment
Purchased College supplies for the workshop,Education
Cap for May,Shopping
Paid Seminar fee,Education
Uber ride to college,Transport
Steam purchase monthly plan,Entertainment
Paid for Bowling session from local cinema,Entertainment
Paid for Theatre ticket premium plan,Entertainment
Monthly Gas cylinder this month,Bills
Refueled with Car service,Transport
Got a new Shirt for birthday gift,Shopping
Medical bill - gym,Health
Refueled with gas station Fuel station,Transport
Paid for Doctor appointment,Health
Refueled with petrol pump Bike wash,Transport
Bought Netflix subscription monthly plan,Entertainment
Recharged Bike wash for a trip,Transport
Lunch at Burrito takeaway,Food
Bought Headphones from Amazon,Shopping
Purchased new Phone case seasonal sale,Shopping
Renewed Spotify subscription family plan,Entertainment
Bought university Online course,Education
Karaoke night annual plan,Entertainment
Exam fee - local college,Education
Had Burrito from hotel restaurant,Food
YouTube Steam purchase,Entertainment
Ordered local mall Jacket,Shopping
Refueled with Pathao ride from petrol pump,Transport
Vitamin supplements - pharmacy,Health
Paid for Lab test routine visit,Health
Paid for French fries,Food
Registered for Online course,Education
Enrolled in Exam fee for the course,Education
Paid Programming course this semester,Education
Purchased library Programming course,Education
Curtains - Daraz,Shopping
Booked Uber ride from Pathao,Transport
Mobile recharge for August,Bills
Recharged InDrive Fuel station,Transport
Got a new outlet store Electronics gadget,Shopping
Bought local clinic Medicine,Health
Took a Pathao ride from Pathao,Transport
Bought hospital Eye checkup,Health
Purchased Burger on the way home,Food
Shirt - Daraz,Shopping
Stationery for July,Education
Comic book - Netflix,Entertainment
Purchased local garage Auto rickshaw fare,Transport
Subscribed to YouTube Amazon Prime membership,Entertainment
Tea for March,Food
Grabbed Fried rice at college,Food
Went for Lab test emergency visit,Health
WiFi payment - telecom provider,Bills
Shopping for Furniture piece from local mall,Shopping
Booked local cinema E-book purchase,Entertainment
Coaching class fee - local college,Education
Cab fare,Transport
Bought YouTube Premium from PlayStation,Entertainment
Paid Property tax,Bills
Booked Streaming service from Steam,Entertainment
Uber Uber ride,Transport
Went for Surgery cost from hospital,Health
Purchased Movie ticket with friends,Entertainment
Concert ticket from Netflix,Entertainment
Paid for Daraz Socks,Shopping
Renewed Xbox Game Pass Stand-up comedy show,Entertainment
College fee - library,Education
Cleared Water bill from insurance company,Bills
Refueled with Cab fare from InDrive,Transport
Paid for House rent from landlord,Bills
Took a Helmet purchase to home,Transport
Booked Cab fare from gas station,Transport
Ordered Furniture piece from outlet store,Shopping
Paid for Theatre ticket weekend outing,Entertainment
Hospital bill for November,Health
Snack at Dosa for the party,Food
Paid College tuition this semester,Education
Paid for Steam purchase family plan,Entertainment
T-shirt - boutique,Shopping
Monthly rent for March,Bills
Went for X-ray from diagnostic center,Health
Booked Sajha Yatayat Bike rental,Transport
Took a Uber ride downtown,Transport
Purchased new Watch from Daraz,Shopping
Enrolled in library Thesis printing,Education
Falafel for May,Food
Paid for InDrive Car service,Transport
Refueled with Bike fuel from Tootle,Transport
Paid for Uber ride from Pathao,Transport
Went for Gym membership checkup,Health
Monthly telecom provider Society fee,Bills
Paid for PlayStation Plus from YouTube,Entertainment
Bought Electronics gadget from boutique,Shopping
Paid Society fee from NEA,Bills
Dinner at campus canteen Falafel,Food
Purchased Diesel to office,Transport
Visited for Vaccination from pharmacy,Health
Bought local mall T-shirt,Shopping
Got a new Jeans for office,Shopping
Purchased PlayStation Bowling session,Entertainment
Monthly Loan EMI,Bills
Parking fee - gas station,Transport
Recharged Cab fare from local garage,Transport
Ordered Daraz Laptop bag,Shopping
Cleared bank Maintenance fee,Bills
Settled telecom provider Cable TV bill,Bills
Bought Vitamin supplements from diagnostic center,Health
Cleared telecom provider Home loan installment,Bills
Registered for College supplies annual fee,Education
Burger - dhaba,Food
Went for Physiotherapy session follow-up visit,Health
Paid for Disney+ Movie ticket,Entertainment
Booked Vaccination routine visit,Health
Amusement park ticket from Disney+,Entertainment
Cleared landlord Water tank refill,Bills
Milkshake for January,Food
Thesis printing for March,Education
Refueled with Parking fee from Sajha Yatayat,Transport
Hospital bill - hospital,Health
Purchased new local mall T-shirt,Shopping
Booked Amazon Prime membership from Steam,Entertainment
Went for Medical bill follow-up visit,Health
College tuition - university,Education
Bought Rice bag,Food
Renewed Spotify subscription from Amazon Prime,Entertainment
Refueled with local garage Car rental,Transport
Refueled with petrol pump Car rental,Transport
Subscribed to Music album from Netflix,Entertainment
Used Toll fee from Tootle,Transport
Registered for bookstore Textbooks,Education
Breakfast at McDonald's Eggs,Food
Bought Coaching class fee from bookstore,Education
Visited for Pharmacy purchase,Health
Bought Project materials from Coursera,Education
Bought Amazon Perfume,Shopping
Got a new Bedsheet from online store,Shopping
Apartment rent - insurance company,Bills
Physiotherapy session for December,Health
Shopping for Amazon Earrings,Shopping
Surgery cost for November,Health
Paid for Pasta from local bakery,Food
Bought Doctor appointment from wellness center,Health
Software license for study - bookstore,Education
Had Domino's Tea,Food
Paid for NEA Property tax,Bills
Enrolled in Exam fee,Education
Enrolled in College tuition,Education
Tire replacement - InDrive,Transport
Took a InDrive Fuel station,Transport
Purchased Samosa,Food
Phone bill - insurance company,Bills
Purchased local garage Bike wash,Transport
Auto rickshaw fare for November,Transport
Movie ticket for October,Entertainment
Laptop bag,Shopping
Paid for Backpack from local mall,Shopping
Bought College supplies from library,Education
Subscribed to Netflix Amusement park ticket,Entertainment
Purchased new Kitchenware for college,Shopping
Ordered Cap for birthday gift,Shopping
Paid for pharmacy Surgery cost,Health
Refueled with petrol pump Uber ride,Transport
Bought food court Waffles,Food
Took a Car service to college,Transport
Enrolled in Coaching class fee for the workshop,Education
Paid for Tire replacement from Uber,Transport
YouTube Premium from YouTube,Entertainment
Maintenance fee for December,Bills
Enrolled in University fee for the workshop,Education
College fee - bookstore,Education
Cleared Water tank refill from landlord,Bills
WiFi payment for October,Bills
Paid for Physiotherapy session from gym,Health
Paid Credit card payment,Bills
